Site_ID,Site_Name,Latitude,Longitude,Project,COUNT,d2H,d18O
NLA06608-2996,Iowa Park Lake,33.9804795,-98.7099336,EPA Lakes,1,1.678971557,0.897616054
NLA06608-3032,L JONES PROPERTY LAKE,33.8415669,-97.25082795,EPA Lakes,1,-7.284425421,-0.251849386
NLA06608-3035,Blackman Lake,41.55099685,-85.2868168,EPA Lakes,1,-34.90809501,-3.693484734
NLA06608-3083,Livingston Reservoir,30.85367701,-95.34226168,EPA Lakes,1,-10.29763033,-1.687799056
NLA06608-3096,Old Kerens City Lake,32.11659958,-96.14918065,EPA Lakes,1,0.976589553,0.985261634
NLA06608-3121,Lost Valley Reservoir,44.96452667,-116.4623588,EPA Lakes,1,-112.6675358,-14.1616563
NLA06608-3147,Bruce Lake,41.077102,-86.46356279,EPA Lakes,1,-33.22361962,-4.024155813
NLA06608-3153,Mountain Lake,48.66028929,-122.81678,EPA Lakes,1,-57.29711515,-7.12261592
NLA06608-3157,Arrowrock Reservoir,43.54942519,-115.7987142,EPA Lakes,1,-123.4979425,-16.20967665
NLA06608-3160,Wildwood Lake,41.03691696,-96.83981345,EPA Lakes,1,-21.50206664,-2.776535576
NLA06608-3169,Lake Okeechobee,26.93623169,-80.86630109,EPA Lakes,1,18.66566118,3.361861035
NLA06608-3228,Lake Fort Phantom Hill,32.57024595,-99.68261832,EPA Lakes,1,-12.85818165,-1.720863334
NLA06608-3265,Fan Lake,48.05647979,-117.40861,EPA Lakes,1,-98.76957283,-11.58001269
NLA06608-3303,Braunig Lake,29.24614674,-98.37720987,EPA Lakes,1,10.80978211,2.720367265
NLA06608-3313,Foster Reservoir,42.12319331,-111.8362486,EPA Lakes,1,-113.0209829,-14.44384351
NLA06608-3320,Wister Lake,34.9019537,-94.76570179,EPA Lakes,1,-20.80974844,-3.51130324
NLA06608-3329,Chase Lake,48.45741132,-116.824496,EPA Lakes,1,-98.41707769,-11.97414566
NLA06608-3480,Wynnewood,34.62968086,-97.08993955,EPA Lakes,1,-16.33143173,-2.530072251
NLA06608-3484,Big Alkali Lake,42.62695121,-100.6121255,EPA Lakes,1,-22.06055376,-1.213675066
NLA06608-3608,Maskenthine Reservoir,41.97536219,-97.23610354,EPA Lakes,1,-24.43823672,-1.717845887
NLA06608-3616,Lake Lloyd Vincent,36.05807999,-99.92247803,EPA Lakes,1,-12.45541408,-0.690532375
NLA06608-3644,Smith Lake,41.78762942,-102.5219427,EPA Lakes,1,-32.14928456,-1.813009651
NLA06608-3656,Otter Lake,42.41646632,-99.29106061,EPA Lakes,1,-19.19658294,-0.91891643
