"","Site_ID","Site_Name","Project","COUNT","d2H","d18O","OBJECTID","Dist_moved","h_ann","o_ann","fa_qs_ann","h_win","o_win","fa_qs_win","h_sum","o_sum","fa_qs_sum","elsl","el","es"
"291","NLA06608-0537","Glade Creek Reservoir (Lower)","EPA Lakes",1,-43.94348752,-6.945182607,"151109",0,-55.3372552948621,-8.8984057508648,0.0149054629728198,-69.5364361093824,-10.6996389122358,0.00776095129549503,-39.9129577471949,-6.94176034273842,0.00714451121166348,5.29348905157569,5.28827402043115,3.68704046591447
"292","NLA06608-0540","Elk City Lake","EPA Lakes",1,-5.888276251,0.232917048,"367606",6,-38.5164066241635,-6.15969529083971,0.135654807090759,-55.6435985873002,-8.35795001398748,0.0518012419342995,-27.9359409814817,-4.80170626005086,0.083853580057621,4.77053685003979,4.77138438597958,3.33520009563979
"293","NLA06608-0541","Lake Anne","EPA Lakes",1,-32.19062722,-3.676840534,"31859",5,-45.1849344933853,-7.44183080071384,0.0291848443448544,-51.7540042710933,-8.33299707925466,0.0192147865891457,-32.5247085172849,-5.72433595414631,0.00997005589306355,5.08317407820306,5.07887691386537,3.54383286288598
"294","NLA06608-0542","Buckskin Lake","EPA Lakes",1,-26.30095626,0.398816663,"124742",1,-80.0114764849166,-11.4409317924284,0.0835038721561432,-111.404826527694,-15.3952455449504,0.0396498590707779,-51.6276529838096,-7.86569304371966,0.043854046612978,5.62276207447958,5.73536962698491,3.99403663858678
"295","NLA06608-0546","Grist Millpond","EPA Lakes",1,-46.01807651,-6.683600051,"7543",4,-54.4665051911876,-8.18965201821444,0.0086065735667944,-65.5282015127874,-9.61693531269019,0.00482632033526897,-40.3438298819536,-6.36741143960542,0.00378025393001735,5.59716721793968,5.59023224532818,3.88469787298672
"296","NLA06608-0547","Arrowhead Lake","EPA Lakes",1,-51.82228981,-6.575213527,"191823",0,-62.0937890715767,-9.09463958941255,0.0366334430873394,-93.3855122089498,-13.1661373758981,0.0144657669588923,-41.6740276320523,-6.43773862131643,0.0221676733344793,5.52132485790179,5.52408561399559,3.85012758065165
"297","NLA06608-0550","Armington Lake","EPA Lakes",1,-67.62164147,-9.065690835,"11274",3,-73.4447899237488,-10.5794558771205,0.00795453134924173,-89.2833484457058,-12.6152072750638,0.00447254301980138,-53.1005040513476,-7.96457316367396,0.00348198786377907,6.18430443313271,6.20882311464852,4.30633256014175
"298","NLA06608-0551","Cokato Lake","EPA Lakes",1,-47.90401102,-6.378366686,"172950",1,-71.9168147962986,-10.2089915265221,0.0100595410913229,-104.602483739728,-14.3663798842823,0.00392383243888617,-51.0140976639022,-7.55030935866674,0.00613570772111416,5.46322699149621,5.43461463604515,3.79771311794473
"299","NLA06608-0555","Little Otter","EPA Lakes",1,-48.06641631,-6.628149213,"130735",3,-55.7109174313559,-8.40738966541712,0.0209338404238224,-75.9529645130332,-11.0898179235508,0.0102329580113292,-36.3540137526748,-5.84225937823407,0.0107008805498481,5.41023501341212,5.4092540800793,3.76875420398626
"300","NLA06608-0558","North Mayfield","EPA Lakes",1,-33.19429951,-2.447988978,"256638",2,-75.999115851141,-10.4910489861311,0.00673883827403188,-116.86316234029,-15.6360221016888,0.0016428844537586,-62.8249595626692,-8.8323619632042,0.00509595358744264,5.56719544939008,5.57578087303303,3.88935869244475
"301","NLA06608-0560","Lake Meredith","EPA Lakes",1,-8.053856042,0.328194258,"361247",0,-56.7129248200711,-8.27792753329549,6.59792804718018,-85.778536049562,-12.1220325199077,2.07748436927795,-43.3551236406198,-6.5112740038139,4.52044296264648,4.59234163556801,4.6272681695443,3.25231057817883
"302","NLA06608-0561","Payette Lake","EPA Lakes",1,-116.0174056,-15.41970601,"431156",0,-123.497781351308,-16.3852340935661,0.112845979630947,-132.259491737832,-17.5504531747671,0.0869902074337006,-94.0196181052831,-12.4649375346151,0.025855764746666,5.22064642804854,5.42882020671601,3.7997401662621
"303","NLA06608-0562","Flat River Reservoir","EPA Lakes",2,-38.51042555,-5.632600171,"12974",0,-51.3128334358598,-7.89544301327088,0.0207109004259109,-60.515160785139,-9.07592937948926,0.0126739926636219,-36.8009997547965,-6.03384558968551,0.0080369096249342,5.84592045303444,5.81712394846151,4.03949382282155
"304","NLA06608-0564","Santa Cruz Lake","EPA Lakes",1,-78.75805532,-11.17340222,"409261",3,-71.3219215542015,-10.2169856242548,0.00288806785829365,-103.778417135492,-14.3802131265642,0.00111823435872793,-50.8149180855707,-7.58653201344099,0.00176983361598104,4.63397675047242,4.65209849157441,3.27408445022579
